State,City,Locations,Courts
AZ,Snowflake,1,2
AZ,Thatcher,1,1
AZ,Tolleson,1,2
AZ,Tubac,1,4
AZ,Villa Novena,1,4
AZ,Williams,1,2
AZ,Window Rock,1,1
AR,Little Rock,7,33
AR,Fayetteville,6,18
AR,Mountain Home,5,14
AR,Rogers,5,24
AR,Bentonville,4,35
AR,Hot Springs,4,20
AR,Bella Vista,3,11
AR,Fort Smith,3,24
AR,Hot Springs Village,3,20
AR,Jonesboro,3,12
AR,North Little Rock,3,17
AR,Sherwood,3,12
AR,Siloam Springs,3,12
AR,Springdale,3,14
AR,Van Buren,3,8
AR,Arkadelphia,2,9
AR,Benton,2,10
AR,Conway,2,4
AR,Danville,2,7
AR,Dardanelle,2,6
AR,Eureka Springs,2,5
AR,Greenbrier,2,9
AR,Greenwood,2,6
AR,Lowell,2,14
AR,Mena,2,4
AR,Paragould,2,4
AR,Plainview,2,4
AR,Russellville,2,4
AR,Alma,1,2
AR,Arkansas City,1,2
AR,Batesville,1,13
AR,Beebe,1,4
AR,Bee Branch,1,1
AR,Bryant,1,5
AR,Cabot,1,3
AR,Cherokee Village,1,3
AR,Clarksville,1,3
AR,Cotter,1,1
AR,El Dorado,1,10
AR,Fairfield Bay,1,12
AR,Farmington,1,4
AR,Harrison,1,2
AR,Heber Springs,1,8
AR,Kensett,1,3
AR,Magnolia,1,3
AR,Marshall,1,3
AR,Maumelle,1,3
AR,Morrilton,1,4
AR,Mount Holly,1,2
AR,Mulberry,1,2
AR,Newark,1,2
AR,Oak Grove,1,3
AR,Ozark,1,2
AR,Pearcy,1,2
AR,Pocahontas,1,3
AR,Quitman,1,1
AR,Searcy,1,8
AR,Tontitown,1,3
AR,Walnut Ridge,1,2
CA,San Diego,57,250
CA,Sacramento,36,119
CA,Los Angeles,34,123
CA,San Francisco,25,103
CA,Palm Desert,19,197
CA,San Jose,19,80
CA,Elk Grove,13,39
CA,Roseville,13,79
CA,Irvine,11,38
CA,Long Beach,11,57
CA,Menifee,11,36
CA,Chula Vista,9,28
CA,Escondido,9,38
CA,Riverside,9,31
CA,Santa Clarita,9,60
CA,Thousand Oaks,9,43
CA,Pasadena,8,27
CA,San Clemente,8,35
CA,Santa Ana,8,33
CA,Santa Rosa,8,36
CA,Anaheim,7,26
CA,Auburn,7,26
CA,Desert Hot Springs,7,34
CA,Fremont,7,40
CA,Fresno,7,46
CA,Huntington Beach,7,52
CA,Lake Forest,7,38
CA,Oakland,7,19
CA,San Rafael,7,39
CA,Temecula,7,42
CA,Tustin,7,42
CA,Yucaipa,7,29
CA,Alameda,6,36
CA,Bakersfield,6,38
CA,Carlsbad,6,22
CA,Dayton Avenue,6,20
CA,Encinitas,6,60
CA,Folsom,6,54
CA,Fontana,6,17
CA,Indio,6,35
CA,La Quinta,6,56
CA,Monterey,6,26
CA,Rancho Mirage,6,66
CA,Santa Monica,6,50
CA,Torrance,6,33
CA,United States,6,29
CA,Yorba Linda,6,21
CA,Burlingame,5,20
CA,Camarillo,5,14
CA,Davis,5,18
CA,Goleta,5,16
CA,Hemet,5,22
CA,Laguna Niguel,5,30
CA,Los Alamitos,5,13
CA,Milpitas,5,16
CA,Newport Beach,5,55
CA,Redwood City,5,14
CA,Rocklin,5,12
CA,Saratoga,5,11
CA,South San Francisco,5,18
CA,Stockton,5,29
CA,Apple Valley,4,12
CA,Arcata,4,13
CA,Banning,4,20
CA,Berkeley,4,11
CA,Borrego Springs,4,20
CA,Burbank,4,19
CA,Carmichael,4,14
CA,Cerritos,4,31
