Tournament Name,Status,Players,City,State,Raw Start Date,Start Date,is_large_tournament,is_major_tournament
Amelia Island December Pickle Bash,Completed,48,Fernandina Beach,FL,"Dec 7, 2024",2024-12-07,False,False
Utopos Pickleball Society Tournament @ DETA Pickleball Club,Completed,2,Miami,FL,"Dec 7, 2024",2024-12-07,False,False
Pickleball 4 Parkinson's,Completed,136,Lebanon,IN,"Dec 7, 2024",2024-12-07,False,False
Samson Winter Pickleball Slam,Completed,72,Stonecrest,GA,"Dec 7, 2024",2024-12-07,False,False
Life Time Tempe Winter Classic Tournament 2024,Completed,19,Tempe,AZ,"Dec 7, 2024",2024-12-07,False,False
Victory Year-End Grand Slam Final Tournament,Completed,230,Loves Park,IL,"Dec 7, 2024",2024-12-07,False,False
GTRS Blue Santa (formerly Toys for Tots),Completed,196,Beaumont,TX,"Dec 7, 2024",2024-12-07,False,False
Missouri City December Open,Completed,62,Missouri City,TX,"Dec 6, 2024",2024-12-06,False,False
BAIRD HENDERSON HOLIDAY TOURNEY,Completed,179,Henderson,KY,"Dec 6, 2024",2024-12-06,False,False
Pop Up Pickleball Tournament,Completed,108,Portland,OR,"Dec 6, 2024",2024-12-06,False,False
UTM Campus Rec Indoor Winter Slam,Completed,47,Martin,TN,"Dec 6, 2024",2024-12-06,False,False
3rd Shot Pickleball Winter Classic,Completed,237,Wheat Ridge,CO,"Dec 6, 2024",2024-12-06,False,False
WPA DUPR USA National Indoor Championships Los Angeles,Completed,899,Gardena,CA,"Dec 6, 2024",2024-12-06,True,False
Dink & Dash Holiday Smash @ Pickleball Palace,Completed,214,Whippany,NJ,"Dec 6, 2024",2024-12-06,False,False
Holly Jolly Paddle Bash,Completed,151,Centreville,VA,"Dec 6, 2024",2024-12-06,False,False
"""$5,000 Picklebarn Year-End Championships""",Completed,259,Mankato,MN,"Dec 6, 2024",2024-12-06,True,False
Dink The Halls 3 Indoor Pickleball Tourney - Hosted by PickleballTourneys.com,Completed,358,Charlotte,NC,"Dec 6, 2024",2024-12-06,True,False
2024 Winter Classic @ Power Pickleball Club,Completed,233,Spokane,WA,"Dec 6, 2024",2024-12-06,False,False
Liveball Winter Money Back Tournament @ Lost Pines,Completed,131,Bastrop,TX,"Dec 6, 2024",2024-12-06,False,False
Life Time Fall Classic,Completed,18,Alpharetta,GA,"Dec 6, 2024",2024-12-06,False,False
Jolly Jamboree! - canceled for 2024,Completed,21,Templeton,CA,"Dec 6, 2024",2024-12-06,False,False
Christmas Cup 2024,Completed,25,Ft Myers,FL,"Dec 6, 2024",2024-12-06,False,False
2024 WSC NW Holiday Classic by PIG,Completed,292,Woodinville,WA,"Dec 6, 2024",2024-12-06,True,False
(CXL) Senior Beach Battle at Lighthouse Oceanfront Resort,Completed,39,Long Beach,WA,"Dec 6, 2024",2024-12-06,False,False
2024 Coachella Valley Grand Prix Pickleball at Paradise Pickleball,Completed,125,Palm Desert,CA,"Dec 6, 2024",2024-12-06,False,False
PickleMeSilly 2nd Annual Holiday Spectacular Pickleball Tournament,Completed,269,Finksburg,MD,"Dec 6, 2024",2024-12-06,True,False
"""Players Courtyard """"Winterfest in the Courtyard Tournament""""""",Completed,263,Moorestown,NJ,"Dec 6, 2024",2024-12-06,True,False
$$$ 2nd Annual ACES Holiday Challenge $$$,Completed,88,Cincinnati,OH,"Dec 6, 2024",2024-12-06,False,False
Winter Showdown at Pickleball Harbor,Completed,139,Export,PA,"Dec 6, 2024",2024-12-06,False,False
World Pickleball Tour Boulder Challenger,Completed,108,Longmont,CO,"Dec 6, 2024",2024-12-06,False,False
Dinklebells 2024,Completed,151,Green Cove Springs,FL,"Dec 6, 2024",2024-12-06,False,False
Deck the Halls with Pickleballs Tournament,Completed,183,Cape Coral,FL,"Dec 6, 2024",2024-12-06,False,False
Bousquet Sport Winter Jamboree,Completed,137,Pittsfield,MA,"Dec 5, 2024",2024-12-05,False,False
2024 USSP National Championship - presented by Humana,Completed,543,Casa Grande,AZ,"Dec 5, 2024",2024-12-05,True,False
17th Voyager Holiday Tournament,Completed,79,Tucson,AZ,"Dec 5, 2024",2024-12-05,False,False
Houston Lake Conroe Senior Indoor Holiday Classic presented by Ciro's Italian Grill,Completed,44,Willis,TX,"Dec 4, 2024",2024-12-04,False,False
PPA Tour: CIBC The Finals,Completed,1029,San Clemente,CA,"Dec 4, 2024",2024-12-04,True,True
2024 Cowtown Senior Open Series (5) - a USSP Circuit Event by PIG,Completed,153,Fort Worth,TX,"Dec 3, 2024",2024-12-03,False,False
Florida Senior Games,Completed,547,Wesley Chapel,FL,"Dec 3, 2024",2024-12-03,True,False
12th Annual Mesa Regal Steve Judy Pickleball Tournament,Completed,200,Mesa,AZ,"Dec 2, 2024",2024-12-02,False,False
La Quinta Turkey Pickle 2024,Completed,88,La Quinta,CA,"Dec 1, 2024",2024-12-01,False,False
Holiday Kitchen battle,Completed,39,Oak Brook,IL,"Nov 30, 2024",2024-11-30,False,False
WPA DUPR California State Championships,Completed,25,Carson,CA,"Nov 30, 2024",2024-11-30,False,False
Friendsgiving Tournament,Completed,30,Cincinnati,OH,"Nov 30, 2024",2024-11-30,False,False
"""On The Rise PB @ Los Cab Sports Village, Fountain Valley #5""",Completed,298,Fountain Valley,CA,"Nov 30, 2024",2024-11-30,True,False
On Court Adventures 1 Day Mixed Doubles Tournament at Gene Autry,Completed,75,Mesa,AZ,"Nov 30, 2024",2024-11-30,False,False
Mixed Doubles - Split-Age,Completed,34,Commerce Township,MI,"Nov 30, 2024",2024-11-30,False,False
2024 Fall More Bang for the Buck! @ GRP - ALL AGES + USSP Event by PIG,Completed,68,Gilbert,AZ,"Nov 30, 2024",2024-11-30,False,False
Turkey and Pickles,Completed,78,Burlington,IA,"Nov 30, 2024",2024-11-30,False,False
Thanksgiving Kitchen Throwdown,Completed,94,Dallas,TX,"Nov 30, 2024",2024-11-30,False,False
Five Season's Gobble Games Tournament November 30th - December 1,Completed,99,Crestview Hills,KY,"Nov 30, 2024",2024-11-30,False,False
2024 Hope College Thanksgiving Tournament,Completed,230,Holland,MI,"Nov 30, 2024",2024-11-30,False,False
CHRC Bubble Brawl!,Completed,55,Cherry Hill,NJ,"Nov 30, 2024",2024-11-30,False,False
1st Annual Pickle BaL (Bridge a Life) Tournament,Completed,64,Bradenton,FL,"Nov 30, 2024",2024-11-30,False,False
JBHF Pickleball Classic,Completed,10,Lebanon,TN,"Nov 29, 2024",2024-11-29,False,False
JBHF/Ellie's Winter Classic,Completed,186,Lebanon,TN,"Nov 29, 2024",2024-11-29,False,False
TNT Thanksgiving PB Tournament,Completed,113,Fargo,ND,"Nov 29, 2024",2024-11-29,False,False
Pickleball 901 Tournaments Benefiting St. Jude,Completed,66,Collierville,TN,"Nov 29, 2024",2024-11-29,False,False
Lifetime Franklin Turkey Tourney,Completed,61,Franklin,TN,"Nov 29, 2024",2024-11-29,False,False
ThanksPickle: Second-Annual Parent/Child Tournament,Completed,141,Cincinnati,OH,"Nov 29, 2024",2024-11-29,False,False
ARORA Battle of Paddles,Completed,7,St Louis Park,MN,"Nov 29, 2024",2024-11-29,False,False
The Connecticut Dinksgiving Showdown,Completed,230,Simsbury,CT,"Nov 29, 2024",2024-11-29,False,False
Paddles for Paws,Completed,75,Kenova,WV,"Nov 29, 2024",2024-11-29,False,False
Lake Nona Fall Classic: Men's and Women's Doubles,Completed,38,Orlando,FL,"Nov 29, 2024",2024-11-29,False,False
Randolph Black Friday Turkey Shoot,Completed,4,Randolph,NJ,"Nov 29, 2024",2024-11-29,False,False
Turkey Tourney - PKLBALL TOURNAMENTS,Completed,25,St. George,UT,"Nov 28, 2024",2024-11-28,False,False
Prize Money 4.5 Dupr Tournament!,Completed,25,Washington,UT,"Nov 27, 2024",2024-11-27,False,False
MPC Thanksgiving Classic 2024,Completed,484,Fenton,MO,"Nov 27, 2024",2024-11-27,True,False
Prize Money 3.5 Dupr Tournament!,Completed,2,Washington,UT,"Nov 26, 2024",2024-11-26,False,False
Senior 3.0 Dupr Round Robin!,Completed,25,Washington,UT,"Nov 26, 2024",2024-11-26,False,False
Prize Money 2.5 Dupr Tournament!,Completed,25,Washington,UT,"Nov 25, 2024",2024-11-25,False,False
Mission at McKee,Completed,54,Starkville,MS,"Nov 24, 2024",2024-11-24,False,False
MidCape Athletic Club Thanksgiving Pickleball Tournament,Completed,25,South Yarmouth,MA,"Nov 24, 2024",2024-11-24,False,False
"""ARIZONA SENIOR OLYMPICS - NSGA Qualifier for 2025 Des Moines, IA""",Completed,65,Mesa,AZ,"Nov 23, 2024",2024-11-23,False,False
"""NVZ $6,000 SOCAL SHOWCASE @iPickle The Narrows""",Completed,326,El Monte,CA,"Nov 23, 2024",2024-11-23,True,False
2024 Robson Ranch Fall Frenzy Members Only Pickleball Tournament,Completed,129,Eloy,AZ,"Nov 23, 2024",2024-11-23,False,False
PPA Tour: Vulcan Orlando Cup,Completed,340,Orlando,FL,"Nov 23, 2024",2024-11-23,True,True
World of Pickleball - Des Moines,Completed,170,Des Moines,IA,"Nov 23, 2024",2024-11-23,False,False
Life Time 2024 McKinney Classic Fall Pickleball Tournament,Completed,122,McKinney,TX,"Nov 23, 2024",2024-11-23,False,False
Thanksgiving Turkey Shoot-out,Completed,9,Middle River,MD,"Nov 23, 2024",2024-11-23,False,False
Turkey Shake & Bake Showdown,Completed,53,St Louis Park,MN,"Nov 23, 2024",2024-11-23,False,False
2024 Thanksgiving at Emma Willard Women's Tournament,Completed,90,Troy,NY,"Nov 23, 2024",2024-11-23,False,False
North Carolina State Championship - Hurricane Helene Relief Event,Completed,218,Gastonia,NC,"Nov 23, 2024",2024-11-23,False,False
Singles Shootout Tournament,Completed,61,Vernon Hills,IL,"Nov 23, 2024",2024-11-23,False,False
Life Time Dublin Thanksgiving Classic,Completed,2,Dublin,OH,"Nov 23, 2024",2024-11-23,False,False
3rd Annual Christmas Fundraiser,Completed,82,Milledgeville,GA,"Nov 23, 2024",2024-11-23,False,False
Smash Out CF 2024,Completed,133,Moultrie,GA,"Nov 23, 2024",2024-11-23,False,False
The Indiana Master's @ The Dink House,Completed,167,Carmel,IN,"Nov 23, 2024",2024-11-23,False,False
Camp Pickleball's Inaugural Tournament,Completed,248,Plainville,CT,"Nov 23, 2024",2024-11-23,False,False
2024 United Way Pickleball Palooza Tournament,Completed,149,Wallingford,CT,"Nov 23, 2024",2024-11-23,False,False
HKPC Fall Brawl Major *$5000* In Prize Money,Completed,154,New York,NY,"Nov 23, 2024",2024-11-23,False,False
Turkey Time Tournament,Completed,12,Delaware,OH,"Nov 23, 2024",2024-11-23,False,False
DUPR Rating Session,Completed,12,Coral Springs,FL,"Nov 23, 2024",2024-11-23,False,False
4th Annual Longview Regional Open,Completed,84,Longview,TX,"Nov 22, 2024",2024-11-22,False,False
Picasso's Pizza: Slice & Serve Pickleball Tournament at Village Glen Tennis & Pickleball Club,Completed,198,Williamsville,NY,"Nov 22, 2024",2024-11-22,False,False
GLOW BALL - November 2024,Completed,48,Gray,GA,"Nov 22, 2024",2024-11-22,False,False
DNA Tour,Completed,25,Fort Myers,FL,"Nov 22, 2024",2024-11-22,False,False
TEMPO PICKLEBALL CUP 2024,Completed,1,Houston,TX,"Nov 22, 2024",2024-11-22,False,False
Life Time Thanksgiving Classic,Completed,65,Montvale,NJ,"Nov 22, 2024",2024-11-22,False,False
Turkey Slam,Completed,125,Bel Air,MD,"Nov 22, 2024",2024-11-22,False,False
2nd Annual Pickleball for Parties Tournament,Completed,88,Cleveland,TN,"Nov 22, 2024",2024-11-22,False,False
3rd Annual It Takes Guts - Gastric Cancer Foundation Fundraiser,Completed,364,Rome Indoor Tennis Center,GA,"Nov 22, 2024",2024-11-22,True,False
4th Annual Turkey Shoot by PIG,Completed,181,Vancouver,WA,"Nov 22, 2024",2024-11-22,False,False
The 2024 PEAK PickleBrawl Tournament & Calcutta,Completed,100,Missoula,MT,"Nov 22, 2024",2024-11-22,False,False
3rd Annual Hungry Games - Feed the People!,Completed,405,Pendleton,IN,"Nov 22, 2024",2024-11-22,True,False
Pickleball Showdown at Pickle Jar,Completed,161,Hillsborough,NJ,"Nov 22, 2024",2024-11-22,False,False
Utah State Pickleball Round Robin Championship,Completed,344,St George,UT,"Nov 20, 2024",2024-11-20,True,False
Smash & Rally Youth Pickleball Tournament,Completed,6,Sturbridge,MA,"Nov 17, 2024",2024-11-17,False,False
Poway Championship,Completed,67,Poway,CA,"Nov 16, 2024",2024-11-16,False,False
Life Time Garden City November Money Ball,Completed,3,Garden City,NY,"Nov 16, 2024",2024-11-16,False,False
Paddles For Paws,Completed,155,Redmond,OR,"Nov 16, 2024",2024-11-16,False,False
Swinging for the Stars Pickleball Tournament Benefitting Sacred Heart Elementary School,Completed,132,Biloxi,MS,"Nov 16, 2024",2024-11-16,False,False
2024 Life Time Frontenac Fall Classic Tournament,Completed,48,Frontenac,MO,"Nov 16, 2024",2024-11-16,False,False
On Court Adventures 1 Day BARBIE PINK Women's Doubles Tournament at Gene Autry,Completed,114,Mesa,AZ,"Nov 16, 2024",2024-11-16,False,False
Hudson River Pickleball Nov 2024 Tournament,Completed,169,Englewood,NJ,"Nov 16, 2024",2024-11-16,False,False
Fall Ball Paddle in the Burg,Completed,217,Fredericksburg,VA,"Nov 16, 2024",2024-11-16,False,False
Holston High School FBLA Pickleball Fundraiser Tournament,Completed,23,Bristol,TN,"Nov 16, 2024",2024-11-16,False,False
MTP Indoor Tournament / $600 Moneyball at More Than Pickleball,Completed,173,Buford,GA,"Nov 16, 2024",2024-11-16,False,False
Brazos Valley Open,Completed,100,Navasota,TX,"Nov 16, 2024",2024-11-16,False,False
Pickleball Life's Pickleball Palooza + Oklahoma Regional Food Bank Food Drive/TOYS FOR TOTS Campaign,Completed,36,Oklahoma City,OK,"Nov 16, 2024",2024-11-16,False,False
The Capital Cup @ Lipscomb University,Completed,71,Nashville,TN,"Nov 16, 2024",2024-11-16,False,False
Rescheduling Gobble Wobble Pickleball Tournament presented by NextEra Energy,Completed,49,Owensboro,KY,"Nov 16, 2024",2024-11-16,False,False
The Amateur Open National Championships @ Oasis Pickleball Club,Completed,35,Rockwall,TX,"Nov 16, 2024",2024-11-16,False,False
Charity Tournament - Fighting Addictions,Completed,42,Irmo,SC,"Nov 16, 2024",2024-11-16,False,False
The Big Gobler,Completed,25,Abilene,TX,"Nov 16, 2024",2024-11-16,False,False
End Of Season Singles Championships,Completed,17,Orange Park,FL,"Nov 16, 2024",2024-11-16,False,False
